original_id,scraped_id,similarity
18,311,1.0
19,312,1.0
20,313,1.0
21,314,1.0
21,1367,0.8064516129032258
22,315,0.9180859691808597
23,316,0.9966178128523112
24,317,0.9992429977289932
25,318,1.0
26,319,1.0
27,320,1.0
28,321,0.9961977186311787
30,322,1.0
31,323,1.0
33,324,1.0
34,325,1.0
35,326,0.99644128113879
36,327,1.0
37,328,0.9988814317673378
38,330,1.0
39,331,1.0
40,332,1.0
41,333,0.996875
42,334,0.9958847736625515
43,335,1.0
44,336,1.0
45,337,1.0
46,338,1.0
49,339,1.0
220,602,0.9908256880733946
222,500,1.0
231,428,1.0
241,429,1.0
243,603,0.9973494888299886
244,501,1.0
252,502,1.0
254,430,1.0
255,431,1.0
256,503,0.8551401869158879
263,913,1.0
264,914,0.9990049751243781
265,915,0.9946902654867257
266,916,1.0
267,917,1.0
268,854,0.8484848484848485
268,918,1.0
269,919,0.9972677595628415
270,920,0.9981515711645101
271,921,1.0
272,922,0.9972850678733032
273,923,0.9972375690607734
274,924,1.0
275,925,0.9953703703703703
276,926,0.9991351974632459
277,927,1.0
278,928,1.0
279,929,1.0
280,930,1.0
281,931,0.9995910020449897
282,932,0.9991158267020336
283,934,1.0
284,935,1.0
285,937,1.0
286,938,1.0
287,939,0.9873417721518988
51,987,1.0
54,1072,1.0
56,988,1.0
59,785,0.8888888888888888
59,989,1.0
64,990,1.0
68,991,1.0
70,992,1.0
71,314,0.9846153846153847
71,1367,0.819672131147541
75,993,1.0
76,1046,0.9962546816479401
78,1124,1.0
81,1125,1.0
87,1126,0.9980582524271845
90,1128,1.0
97,996,1.0
102,1132,1.0
104,1133,0.9982668977469671
113,1047,1.0
115,1138,0.9985693848354793
1,1355,0.9811965811965812
2,1356,0.978515625
3,1357,1.0
4,1358,0.9914529914529915
5,1359,1.0
6,1360,1.0
7,1361,1.0
9,1362,1.0
10,1363,1.0
11,1364,0.996005326231691
12,1365,1.0
13,1366,1.0
13,1367,0.8285714285714286
14,314,0.8064516129032258
14,1366,0.8285714285714286
14,1367,1.0
15,1368,0.8523489932885906
17,1370,1.0
191,1395,1.0
192,1396,1.0
193,1397,1.0
194,1398,1.0
195,1399,1.0
196,1400,0.9969788519637462
197,1402,0.9966329966329966
198,1404,1.0
199,1405,0.9916434540389972
200,1406,1.0
201,1407,1.0
202,1408,1.0
203,1409,1.0
204,1410,0.9945945945945946
205,1411,0.993103448275862
206,1414,0.9960474308300395
207,1415,0.8374164810690423
208,1416,0.9962825278810409
209,1417,1.0
211,1418,1.0
212,1420,1.0
116,1566,1.0
117,1567,1.0
119,1568,1.0
120,1569,0.9794897448724362
121,1570,0.996415770609319
122,1571,0.9985569985569985
123,1572,1.0
124,1573,1.0
125,1574,1.0
126,1575,0.9885057471264368
129,1576,1.0
130,1577,0.9986376021798365
131,850,0.8085106382978723
131,1424,0.8181818181818182
131,1505,0.8181818181818182
131,1533,0.8181818181818182
131,1578,1.0
131,1607,1.0
132,1579,1.0
133,1580,0.994522917267224
134,1581,1.0
135,1582,0.9975903614457832
136,1583,0.9993898718730934
137,1584,1.0
139,1585,1.0
140,1586,1.0
141,1587,0.9711815561959655
142,1487,0.835820895522388
142,1588,1.0
143,1589,0.996415770609319
144,1590,1.0
145,1592,0.9974424552429667
146,1593,0.9968992248062015
147,1594,0.995
148,1595,0.9973118279569892
149,1596,0.9821428571428571
150,1597,1.0
151,1598,1.0
152,1599,0.9966777408637874
153,1600,1.0
154,1601,1.0
155,1602,0.8240064882400648
156,1603,1.0
157,1604,1.0
158,1605,1.0
160,1606,1.0
161,850,0.8085106382978723
161,1424,0.8181818181818182
161,1505,0.8181818181818182
161,1533,0.8181818181818182
161,1578,1.0
161,1607,1.0
162,1608,1.0
163,1610,1.0
164,1611,1.0
165,1612,1.0
166,1613,1.0
167,1614,0.9966480446927374
168,1615,1.0
169,1616,1.0
170,1617,1.0
171,1618,0.9988331388564761
172,1620,1.0
173,1621,0.9969604863221885
174,1622,0.994535519125683
175,1623,0.99644128113879
176,1624,1.0
177,1625,0.9438157633512011
178,1626,0.9956416464891041
179,1627,0.9969465648854962
180,1628,0.9879154078549849
181,1629,0.9987661937075879
182,1630,0.9976359338061466
183,1631,0.9989607150280607
184,1632,1.0
185,1633,0.9982866933181039
186,1634,0.9972972972972973
